"TractFIPS","CountyName","POP","DIABETES","OBESITY"
37067004005,"Forsyth",4695,409,1278
37067004007,"Forsyth",7104,583,1975
37067004009,"Forsyth",3802,320,1103
37067004010,"Forsyth",3392,224,889
37067004011,"Forsyth",5645,475,1666
37067004012,"Forsyth",5611,472,1673
37067004013,"Forsyth",3083,287,925
37067004014,"Forsyth",3016,290,875
37067004015,"Forsyth",3296,261,963
37067004102,"Forsyth",3256,365,1042
37067004103,"Forsyth",3478,320,1054
37067004104,"Forsyth",3429,319,1009
37069060100,"Franklin",4663,719,1870
37069060200,"Franklin",3711,472,1318
37069060301,"Franklin",5975,717,1990
37069060302,"Franklin",2563,505,1141
37069060401,"Franklin",2441,306,921
37069060402,"Franklin",4944,841,2097
37069060501,"Franklin",5955,483,1906
37069060502,"Franklin",7918,697,2606
37069060600,"Franklin",8582,850,2953
37069060700,"Franklin",4709,627,1771
37069060801,"Franklin",4204,497,1611
37069060802,"Franklin",4954,506,1690
37071030101,"Gaston",3383,288,968
37071030102,"Gaston",3315,322,1025
37071030203,"Gaston",2345,226,711
37071030204,"Gaston",3000,261,885
37071030205,"Gaston",3852,393,1245
37071030301,"Gaston",2587,272,810
37071030302,"Gaston",2665,291,864
